district,season,record_month,temperature_c,humidity_pct,wind_speed_kmh,surface_pressure_hpa,crop_fires_detected,blue_mean,blue_std,blue_skewness,blue_high_ratio,blue_dominance,laplacian_var,sobel_mean,edge_density,hsi_saturation_mean,haze_index,dark_channel_mean,fft_high_energy_ratio,gray_contrast,blue_red_ratio,local_variance_mean,hot_index,ndsi_index,modis_aod,pm25_target,pm25_waqi_ref,severity_class,label_source,source_image_id
Lahore,Summer,6,30.5,59.0,10.0,972.8,0,137.344,5.979,0.594,0.2755,0.952,72.823,10.598,0.0,0.082,4.637,137.286,0.00014,17.0,0.9318,6.827,0.17,-0.035,0.49,35.0,65.0,0,Copernicus CAMS via Open-Meteo,Lahore_Summer_2024-06-20
Lahore,Autumn_Harvest,10,17.1,82.0,5.6,988.1,12,91.572,15.09,0.176,0.3189,0.855,71.509,24.59,0.0032,0.2215,1.937,91.561,0.00027,32.0,0.8069,35.493,0.057,-0.107,0.18,59.0,65.0,1,Copernicus CAMS via Open-Meteo,Lahore_Autumn_Harvest_2023-10-25
Lahore,Monsoon,7,27.5,90.0,5.8,975.3,0,171.027,11.082,0.786,0.2161,1.053,99.628,13.392,0.0,0.1372,3.649,148.177,0.00018,35.0,1.1542,19.074,0.3,0.072,0.93,49.0,65.0,1,Copernicus CAMS via Open-Meteo,Lahore_Monsoon_2023-07-15
Lahore,Autumn_Harvest,10,22.3,58.0,1.3,982.4,8,100.017,8.088,-0.377,0.324,0.891,80.313,9.976,0.0,0.186,2.144,100.014,0.00024,18.0,0.8784,5.678,0.089,-0.065,0.3,63.8,65.0,1,Copernicus CAMS via Open-Meteo,Lahore_Autumn_Harvest_2023-10-05
Lahore,Winter_Peak,1,7.0,96.0,3.7,993.2,11,163.793,1.726,-1.725,0.3214,0.962,19.353,4.94,0.0,0.0981,4.823,163.64,3e-05,3.0,0.9886,1.679,0.237,-0.006,1.18,119.2,65.0,2,Copernicus CAMS via Open-Meteo,Lahore_Winter_Peak_2024-01-15
Lahore,Summer,6,28.4,66.0,5.6,971.8,1,118.776,4.976,0.657,0.2669,0.932,41.805,8.483,0.0,0.1136,3.291,118.775,0.00011,15.0,0.8884,4.486,0.124,-0.059,0.51,33.6,65.0,0,Copernicus CAMS via Open-Meteo,Lahore_Summer_2024-06-20
Lahore,Monsoon,7,28.9,80.0,6.3,977.8,0,133.143,9.656,1.534,0.2205,0.967,106.307,20.144,0.0242,0.0999,3.877,132.061,0.00032,35.0,0.9996,41.954,0.181,-0.0,0.89,50.8,65.0,1,Copernicus CAMS via Open-Meteo,Lahore_Monsoon_2024-07-10
Lahore,Autumn_Harvest,10,23.9,76.0,7.8,981.4,7,127.5,5.313,-0.264,0.3191,0.953,25.422,6.737,0.0,0.123,3.316,127.031,6e-05,17.0,0.9874,2.683,0.167,-0.006,0.55,62.2,65.0,1,Copernicus CAMS via Open-Meteo,Lahore_Autumn_Harvest_2024-10-05
Lahore,Autumn_Harvest,10,19.8,77.0,7.7,986.5,10,142.544,4.821,-0.182,0.3569,1.028,63.768,10.115,0.0,0.0559,5.577,134.842,0.00014,15.0,1.0516,5.518,0.213,0.025,0.88,101.7,65.0,2,Copernicus CAMS via Open-Meteo,Lahore_Autumn_Harvest_2024-10-22
Lahore,Autumn_Harvest,9,31.7,58.0,1.3,980.5,13,166.903,10.834,2.082,0.1909,1.044,67.822,10.524,0.0072,0.0895,4.767,151.991,0.00014,34.0,1.0377,16.582,0.259,0.019,0.69,26.0,65.0,0,Copernicus CAMS via Open-Meteo,Lahore_Autumn_Harvest_2024-09-28
Lahore,Summer,5,28.8,25.0,13.6,978.5,0,75.719,13.421,-0.22,0.3348,0.803,65.808,31.384,0.0324,0.3088,1.252,75.719,0.00037,40.0,0.6929,58.315,0.003,-0.181,0.26,19.5,65.0,0,Copernicus CAMS via Open-Meteo,Lahore_Summer_2024-05-01
Lahore,Winter_Peak,11,17.4,77.0,7.2,984.4,14,130.923,14.193,-5.459,0.0634,0.989,759.255,21.869,0.0213,0.0662,4.938,128.314,0.00254,11.0,0.9555,120.64,0.165,-0.023,0.09,36.2,65.0,1,Copernicus CAMS via Open-Meteo,Lahore_Winter_Peak_2024-11-01
Lahore,Autumn_Harvest,10,22.6,57.0,5.2,982.1,9,94.636,7.501,-0.335,0.3463,0.826,32.236,7.539,0.0,0.2511,1.674,94.636,0.0001,18.0,0.7622,3.567,0.048,-0.135,0.29,60.5,65.0,1,Copernicus CAMS via Open-Meteo,Lahore_Autumn_Harvest_2023-10-05
Lahore,Monsoon,8,28.5,87.0,5.0,976.3,1,186.903,15.684,-0.477,0.3311,0.982,54.62,13.706,0.0,0.0689,6.716,184.77,0.0001,53.0,1.0076,17.426,0.289,0.004,0.43,38.5,65.0,1,Copernicus CAMS via Open-Meteo,Lahore_Monsoon_2024-08-12
Lahore,Winter_Peak,11,15.0,91.0,8.8,989.6,12,138.135,13.576,2.001,0.1635,0.985,91.884,17.75,0.0182,0.0412,6.459,137.102,0.00031,48.0,0.9821,53.685,0.186,-0.009,1.38,60.8,65.0,1,Copernicus CAMS via Open-Meteo,Lahore_Winter_Peak_2023-11-30
Lahore,Monsoon,8,31.6,69.0,9.1,979.4,2,155.928,20.755,0.125,0.364,0.997,44.949,16.827,0.0046,0.0279,8.469,154.365,0.00016,61.0,0.9957,25.978,0.224,-0.002,0.83,43.1,65.0,1,Copernicus CAMS via Open-Meteo,Lahore_Monsoon_2024-08-25
Lahore,Winter_Peak,1,8.1,98.0,3.9,992.9,11,196.916,2.916,-0.52,0.2863,1.008,66.684,8.425,0.0,0.0254,10.586,192.867,7e-05,6.0,1.012,3.949,0.311,0.006,1.26,121.1,65.0,2,Copernicus CAMS via Open-Meteo,Lahore_Winter_Peak_2024-01-15
Lahore,Summer,5,26.3,36.0,6.8,967.4,2,58.557,10.297,0.225,0.2967,0.718,30.043,22.863,0.0156,0.4263,0.849,58.557,0.00024,37.0,0.5762,36.698,-0.05,-0.269,0.11,32.5,65.0,0,Copernicus CAMS via Open-Meteo,Lahore_Summer_2024-05-28
Lahore,Winter_Peak,11,22.1,77.0,1.5,991.4,17,52.672,1.605,0.024,0.3001,1.025,25.136,4.84,0.0,0.1029,1.468,48.285,0.0004,4.0,0.9899,1.233,0.022,-0.005,1.36,220.7,65.0,3,Copernicus CAMS via Open-Meteo,Lahore_Winter_Peak_2024-11-15
Lahore,Autumn_Harvest,9,30.1,66.0,5.2,982.1,14,192.207,4.97,-3.7,0.1157,1.004,27.037,6.996,0.0,0.0301,9.654,188.217,4e-05,5.0,0.9924,7.633,0.294,-0.004,0.55,25.1,65.0,0,Copernicus CAMS via Open-Meteo,Lahore_Autumn_Harvest_2023-09-25
Lahore,Autumn_Harvest,9,29.3,70.0,4.1,982.6,8,142.393,9.542,2.25,0.1685,1.01,52.901,9.026,0.0077,0.064,5.175,135.847,0.00013,32.0,1.048,13.994,0.212,0.023,0.64,19.8,65.0,0,Copernicus CAMS via Open-Meteo,Lahore_Autumn_Harvest_2024-09-28
Lahore,Autumn_Harvest,10,27.6,59.0,8.1,983.2,15,117.457,5.943,-0.171,0.3193,0.924,45.468,8.957,0.0,0.1254,3.105,117.455,0.00011,16.0,0.903,5.188,0.126,-0.051,0.33,48.8,65.0,1,Copernicus CAMS via Open-Meteo,Lahore_Autumn_Harvest_2024-10-15
Lahore,Autumn_Harvest,10,23.8,77.0,6.9,979.8,7,123.011,5.338,-0.181,0.3547,0.96,44.814,7.664,0.0,0.1258,3.142,121.418,0.00011,16.0,1.0035,3.307,0.162,0.002,0.49,77.8,65.0,2,Copernicus CAMS via Open-Meteo,Lahore_Autumn_Harvest_2024-10-05
Lahore,Winter_Peak,11,26.0,47.0,5.4,986.8,7,120.703,12.985,-5.322,0.0752,0.981,566.599,20.871,0.0201,0.0574,5.016,119.621,0.00214,10.0,0.9863,106.76,0.153,-0.007,0.15,64.5,65.0,1,Copernicus CAMS via Open-Meteo,Lahore_Winter_Peak_2024-11-01
Lahore,Autumn_Harvest,10,22.3,58.0,1.3,982.4,6,115.662,9.114,-0.323,0.3418,0.934,34.529,7.888,0.0,0.1272,3.176,115.621,9e-05,18.0,0.9357,3.864,0.131,-0.033,0.3,63.8,65.0,1,Copernicus CAMS via Open-Meteo,Lahore_Autumn_Harvest_2023-10-05
Lahore,Summer,5,16.2,72.0,8.3,978.8,3,73.83,13.449,-0.279,0.3492,0.78,87.921,32.322,0.0361,0.3184,1.2,73.83,0.00047,41.0,0.6886,61.347,-0.001,-0.184,0.25,23.1,65.0,0,Copernicus CAMS via Open-Meteo,Lahore_Summer_2024-05-01
Lahore,Autumn_Harvest,10,26.6,60.0,4.1,987.5,13,129.605,4.563,-0.145,0.3511,0.987,66.148,9.941,0.0,0.0534,5.401,127.868,0.00016,13.0,0.9999,5.306,0.174,-0.0,1.16,138.8,65.0,2,Copernicus CAMS via Open-Meteo,Lahore_Autumn_Harvest_2024-10-22
Lahore,Monsoon,7,28.9,84.0,6.8,976.5,1,164.697,10.87,0.682,0.2063,1.0,112.943,14.003,0.0,0.0514,6.883,160.396,0.0002,38.0,1.0235,20.541,0.25,0.012,1.37,65.2,65.0,1,Copernicus CAMS via Open-Meteo,Lahore_Monsoon_2023-07-15
Lahore,Monsoon,8,27.3,91.0,5.5,976.3,2,124.252,9.271,1.895,0.2337,0.985,80.747,11.16,0.0,0.1148,3.454,118.967,0.00022,27.0,1.0366,8.768,0.172,0.018,0.63,37.3,65.0,1,Copernicus CAMS via Open-Meteo,Lahore_Monsoon_2024-08-05
Lahore,Monsoon,8,36.1,41.0,7.5,978.9,1,105.99,13.523,-0.301,0.3387,0.885,69.752,11.125,0.0,0.1874,2.325,105.989,0.00021,31.0,0.8387,8.082,0.088,-0.088,0.51,44.6,65.0,1,Copernicus CAMS via Open-Meteo,Lahore_Monsoon_2023-08-30
Lahore,Summer,5,33.7,36.0,13.0,980.1,0,143.289,26.787,-0.818,0.1546,0.987,237.733,29.618,0.0451,0.0519,6.203,141.653,0.00074,107.0,0.9984,135.149,0.201,-0.001,0.82,38.1,65.0,1,Copernicus CAMS via Open-Meteo,Lahore_Summer_2023-05-25
Lahore,Winter_Peak,12,15.4,73.0,6.0,991.9,8,81.532,11.841,-0.135,0.3234,0.916,70.611,27.851,0.0258,0.152,2.057,81.354,0.00043,38.0,0.9057,45.575,0.063,-0.049,0.2,88.0,65.0,2,Copernicus CAMS via Open-Meteo,Lahore_Winter_Peak_2023-12-20
Lahore,Winter_Peak,11,13.2,86.0,5.2,989.6,9,123.353,5.297,0.455,0.2495,0.99,14.668,7.425,0.0,0.0339,6.193,122.589,5e-05,16.0,0.9758,3.596,0.156,-0.012,0.48,113.9,65.0,2,Copernicus CAMS via Open-Meteo,Lahore_Winter_Peak_2024-11-25
Lahore,Monsoon,8,29.6,83.0,8.0,975.7,1,109.623,17.104,1.25,0.2269,0.957,55.971,29.172,0.0256,0.1471,2.649,106.913,0.00029,44.0,1.0055,69.321,0.136,0.003,0.81,63.8,65.0,1,Copernicus CAMS via Open-Meteo,Lahore_Monsoon_2023-08-05
Lahore,Winter_Peak,11,18.8,84.0,4.0,989.8,7,171.632,6.24,-0.155,0.3625,0.991,16.261,6.713,0.0,0.0258,9.278,170.713,3e-05,23.0,0.9911,3.026,0.254,-0.004,0.3,104.5,65.0,2,Copernicus CAMS via Open-Meteo,Lahore_Winter_Peak_2023-11-05
Lahore,Autumn_Harvest,9,20.9,95.0,16.6,983.6,10,179.225,4.851,-3.038,0.2084,0.978,54.071,8.903,0.0,0.0416,8.234,179.104,7e-05,7.0,0.9614,7.973,0.257,-0.02,0.5,30.9,65.0,0,Copernicus CAMS via Open-Meteo,Lahore_Autumn_Harvest_2023-09-25
Lahore,Autumn_Harvest,9,31.8,58.0,1.5,979.8,7,143.871,9.494,2.278,0.1803,1.008,36.908,7.826,0.0077,0.0666,5.013,137.171,0.0001,31.0,0.9788,13.712,0.196,-0.011,0.68,27.0,65.0,0,Copernicus CAMS via Open-Meteo,Lahore_Autumn_Harvest_2024-09-28
Lahore,Monsoon,7,29.6,78.0,8.4,977.7,1,140.04,10.482,1.449,0.2156,0.986,138.488,21.869,0.0254,0.0352,6.895,139.432,0.00038,36.0,0.9862,44.839,0.191,-0.007,0.83,55.3,65.0,1,Copernicus CAMS via Open-Meteo,Lahore_Monsoon_2024-07-10
Lahore,Summer,4,29.3,41.0,13.0,981.1,2,57.285,8.485,-0.384,0.1759,0.724,244.977,15.649,0.0237,0.3827,0.862,57.272,0.00196,23.0,0.6207,51.484,-0.036,-0.234,0.25,32.6,65.0,0,Copernicus CAMS via Open-Meteo,Lahore_Summer_2024-04-20
Lahore,Monsoon,8,25.7,91.0,7.3,976.4,2,154.826,11.955,-0.417,0.3295,1.01,46.999,11.707,0.0,0.0302,7.913,150.956,0.00013,38.0,1.0204,11.679,0.23,0.01,0.71,20.7,65.0,0,Copernicus CAMS via Open-Meteo,Lahore_Monsoon_2024-08-12
Lahore,Winter_Peak,11,17.0,85.0,4.8,991.1,14,145.118,17.083,1.735,0.164,1.014,131.562,21.177,0.0245,0.047,6.066,139.857,0.00042,59.0,1.0082,71.613,0.207,0.004,1.87,62.2,65.0,1,Copernicus CAMS via Open-Meteo,Lahore_Winter_Peak_2023-11-30
Lahore,Summer,6,27.3,37.0,7.3,975.5,0,101.006,9.975,-1.262,0.3943,0.872,16.977,7.507,0.0012,0.205,2.021,101.006,7e-05,22.0,0.7964,5.24,0.067,-0.113,0.2,28.5,65.0,0,Copernicus CAMS via Open-Meteo,Lahore_Summer_2024-06-10
Lahore,Winter_Peak,1,8.3,91.0,5.8,992.7,17,191.064,1.514,-0.011,0.3861,1.03,21.81,4.524,0.0,0.0636,6.656,178.893,3e-05,3.0,1.0231,1.089,0.303,0.011,0.66,178.8,65.0,3,Copernicus CAMS via Open-Meteo,Lahore_Winter_Peak_2024-01-05
Lahore,Summer,6,24.6,82.0,11.1,977.4,1,201.339,2.152,-2.916,0.2335,0.992,25.308,5.248,0.0,0.0418,8.987,199.37,3e-05,4.0,1.0084,1.938,0.318,0.004,0.62,31.2,65.0,0,Copernicus CAMS via Open-Meteo,Lahore_Summer_2023-06-15
Lahore,Autumn_Harvest,10,19.3,81.0,9.2,986.8,10,134.413,3.929,-0.144,0.3209,0.989,14.24,7.035,0.0,0.063,4.973,132.02,3e-05,13.0,1.016,2.961,0.188,0.008,0.91,97.6,65.0,2,Copernicus CAMS via Open-Meteo,Lahore_Autumn_Harvest_2024-10-22
Lahore,Monsoon,8,33.4,63.0,3.4,976.1,1,149.22,19.654,0.118,0.357,0.991,83.716,17.337,0.0047,0.0466,6.6,147.134,0.00023,58.0,0.9731,24.837,0.204,-0.014,0.71,43.0,65.0,1,Copernicus CAMS via Open-Meteo,Lahore_Monsoon_2024-08-25
Lahore,Monsoon,8,35.3,58.0,4.7,977.3,1,153.512,20.416,0.087,0.3439,0.986,89.71,26.819,0.0058,0.0466,7.049,152.225,0.00025,63.0,0.9923,64.596,0.219,-0.004,0.81,50.1,65.0,1,Copernicus CAMS via Open-Meteo,Lahore_Monsoon_2023-08-20
Lahore,Winter_Peak,12,16.9,52.0,4.5,988.4,9,106.563,7.136,-1.005,0.3182,1.024,15.481,9.257,0.0,0.1029,3.0,97.864,8e-05,21.0,1.0888,6.174,0.146,0.043,0.11,85.7,65.0,2,Copernicus CAMS via Open-Meteo,Lahore_Winter_Peak_2024-12-05
Lahore,Summer,5,29.5,51.0,13.5,979.5,1,135.989,30.035,-0.775,0.1676,1.014,207.29,29.949,0.0549,0.0614,5.174,129.598,0.00072,113.0,0.9991,131.687,0.186,-0.0,0.55,30.4,65.0,0,Copernicus CAMS via Open-Meteo,Lahore_Summer_2023-05-25
Lahore,Monsoon,7,27.5,86.0,14.6,978.2,2,161.851,12.486,1.404,0.228,0.964,162.086,26.309,0.0279,0.0624,6.117,161.84,0.00035,44.0,0.9528,69.15,0.222,-0.024,0.92,48.2,65.0,1,Copernicus CAMS via Open-Meteo,Lahore_Monsoon_2024-07-10
Lahore,Summer,6,33.6,55.0,2.9,977.2,1,101.235,10.335,-0.349,0.3511,0.822,75.96,15.105,0.0,0.2677,1.748,101.235,0.00019,25.0,0.7773,14.325,0.062,-0.125,0.64,31.3,65.0,0,Copernicus CAMS via Open-Meteo,Lahore_Summer_2023-06-05
Lahore,Autumn_Harvest,9,30.5,63.0,2.2,982.2,8,158.407,9.988,2.263,0.1858,1.008,48.481,8.72,0.0071,0.0301,8.024,154.524,0.00011,32.0,1.0237,18.699,0.238,0.012,0.66,21.1,65.0,0,Copernicus CAMS via Open-Meteo,Lahore_Autumn_Harvest_2024-09-28
Lahore,Monsoon,8,29.9,69.0,5.2,979.7,2,102.524,13.285,-0.415,0.3494,0.9,60.486,10.415,0.0,0.1787,2.275,102.479,0.00021,31.0,0.8342,7.225,0.081,-0.09,0.34,66.6,65.0,1,Copernicus CAMS via Open-Meteo,Lahore_Monsoon_2023-08-30
Lahore,Autumn_Harvest,10,31.0,57.0,8.3,983.5,13,136.696,5.718,-0.253,0.3583,0.963,14.741,6.201,0.0,0.0683,4.972,136.688,4e-05,18.0,0.9611,2.428,0.177,-0.02,0.49,60.8,65.0,1,Copernicus CAMS via Open-Meteo,Lahore_Autumn_Harvest_2024-10-05
Lahore,Monsoon,7,30.4,79.0,7.7,976.0,2,146.205,11.194,1.374,0.2283,0.987,174.189,24.348,0.0272,0.0893,4.532,141.902,0.00042,38.0,1.0273,51.412,0.214,0.013,0.88,118.0,65.0,2,Copernicus CAMS via Open-Meteo,Lahore_Monsoon_2024-07-10
Lahore,Monsoon,8,26.0,91.0,8.2,976.7,2,198.507,13.226,-0.057,0.3105,1.065,64.301,14.681,0.0,0.1008,5.221,178.471,0.00012,37.0,1.1103,19.677,0.348,0.052,0.55,19.2,65.0,0,Copernicus CAMS via Open-Meteo,Lahore_Monsoon_2024-08-12
Lahore,Autumn_Harvest,9,22.7,96.0,9.2,980.6,12,175.712,11.168,2.243,0.1834,1.009,52.176,9.571,0.0078,0.0443,7.601,169.721,0.0001,37.0,1.0349,19.481,0.276,0.017,1.23,22.7,65.0,0,Copernicus CAMS via Open-Meteo,Lahore_Autumn_Harvest_2024-09-28
Lahore,Summer,5,27.5,57.0,8.9,979.6,0,121.27,26.653,-0.722,0.1833,0.958,201.258,29.9,0.0538,0.087,4.107,121.13,0.00082,109.0,0.9181,124.466,0.137,-0.043,0.78,42.8,65.0,1,Copernicus CAMS via Open-Meteo,Lahore_Summer_2023-05-25
Lahore,Autumn_Harvest,9,29.3,85.0,6.5,979.0,12,143.915,7.337,1.279,0.2472,0.977,64.35,9.982,0.0,0.0771,4.966,141.963,0.00013,21.0,0.9997,6.369,0.202,-0.0,1.32,65.2,65.0,1,Copernicus CAMS via Open-Meteo,Lahore_Autumn_Harvest_2023-09-15
Lahore,Monsoon,7,31.9,76.0,9.0,978.5,1,124.553,27.777,0.517,0.2844,0.99,602.049,62.281,0.1461,0.0913,4.062,120.47,0.00217,90.0,1.0275,296.295,0.171,0.014,0.84,42.7,65.0,1,Copernicus CAMS via Open-Meteo,Lahore_Monsoon_2023-07-25
Lahore,Winter_Peak,12,9.8,90.0,9.2,988.7,12,88.876,9.195,-0.165,0.331,0.918,66.32,21.22,0.0011,0.1457,2.256,88.694,0.0003,26.0,0.9058,24.448,0.076,-0.049,0.33,97.8,65.0,2,Copernicus CAMS via Open-Meteo,Lahore_Winter_Peak_2023-12-10
Lahore,Summer,6,34.5,18.0,11.3,975.9,2,97.008,9.058,-1.251,0.3637,0.841,20.965,7.721,0.0009,0.2762,1.638,97.008,8e-05,22.0,0.7247,4.942,0.038,-0.16,0.18,26.1,65.0,0,Copernicus CAMS via Open-Meteo,Lahore_Summer_2024-06-10
Lahore,Summer,5,35.7,20.0,12.0,975.8,2,69.301,9.188,-0.573,0.3628,0.795,70.068,22.406,0.0074,0.2936,1.149,69.301,0.00038,29.0,0.7146,30.825,0.002,-0.166,0.33,24.9,65.0,0,Copernicus CAMS via Open-Meteo,Lahore_Summer_2024-05-18
Lahore,Winter_Peak,12,5.6,98.0,8.8,993.7,6,75.324,11.304,-0.096,0.3369,0.912,80.939,27.033,0.0281,0.1746,1.722,74.953,0.00053,36.0,0.9211,42.133,0.055,-0.041,0.23,95.5,65.0,2,Copernicus CAMS via Open-Meteo,Lahore_Winter_Peak_2023-12-20
Lahore,Autumn_Harvest,10,20.2,86.0,7.7,989.5,9,129.039,3.718,-0.191,0.3754,0.967,13.578,6.885,0.0,0.1053,3.631,127.748,3e-05,13.0,1.0046,2.853,0.174,0.002,0.96,79.6,65.0,2,Copernicus CAMS via Open-Meteo,Lahore_Autumn_Harvest_2024-10-22
Lahore,Monsoon,7,27.9,87.0,6.0,976.4,1,166.231,10.924,0.673,0.2238,1.097,93.395,12.725,0.0,0.1438,3.404,142.275,0.0002,33.0,1.1614,15.315,0.291,0.075,0.89,54.1,65.0,1,Copernicus CAMS via Open-Meteo,Lahore_Monsoon_2023-07-15
Lahore,Autumn_Harvest,10,28.4,49.0,5.7,991.1,9,75.807,12.048,0.217,0.3199,0.812,25.993,19.691,0.0011,0.2751,1.347,75.807,0.00014,28.0,0.7544,25.453,0.02,-0.14,0.2,32.1,65.0,0,Copernicus CAMS via Open-Meteo,Lahore_Autumn_Harvest_2023-10-25
Lahore,Monsoon,7,31.7,71.0,5.8,976.2,0,133.412,30.017,0.505,0.2831,0.981,597.299,63.434,0.1368,0.0789,4.897,131.184,0.00193,98.0,1.0023,330.368,0.182,0.001,0.48,35.9,65.0,1,Copernicus CAMS via Open-Meteo,Lahore_Monsoon_2023-07-25
Lahore,Winter_Peak,1,8.1,98.0,3.9,992.9,11,171.365,2.588,-0.318,0.3271,0.977,54.987,7.592,0.0,0.0419,7.889,171.26,7e-05,6.0,0.9688,3.138,0.245,-0.016,1.26,121.1,65.0,2,Copernicus CAMS via Open-Meteo,Lahore_Winter_Peak_2024-01-15
Lahore,Monsoon,8,27.2,91.0,4.0,978.2,2,178.052,13.247,-0.237,0.3232,1.021,95.167,14.953,0.0,0.057,6.821,168.794,0.00017,39.0,1.0103,18.382,0.273,0.005,0.52,52.6,65.0,1,Copernicus CAMS via Open-Meteo,Lahore_Monsoon_2024-08-12
